Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы
Старт,Кофейня/Кафе,Адрес не указан (см. координаты),+7 995 794-78-74,https://cafe_start.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7218771,37.5426065,Mo-Fr 11:00-22:00; Sa-Su 11:00-23:00
SeDelice,Пекарня,"Химкинский бульвар, 16 к1",+7 495 1915091,https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8517478,37.4413693,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-21:00
Дворик,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 9495611,https://www.cafedvorik.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8389027,37.4068941,Mo-Su 12:00-24:00
Пекарня Кондитерская Осетинские Пироги,Пекарня,Адрес не указан (см. координаты),+79153804646,https://pekarniakonditerskaia.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8810674,37.6844671,09:00-21:00
Coffee Bean,Кофейня/Кафе,"Пятницкая улица, 5",+7 495 9536726,https://www.coffeebean.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7452044,37.6272489,Mo-Sa 08:00-23:00; Su 09:00-22:00
Мир Шашлыков,Кофейня/Кафе,"бульвар Яна Райниса, 13","+7 499 493-51-62,  +7 903 576-02-00",https://www.mir-sha.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8494084,37.4333553,24/7
Хинкальная Сити,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 8221777,http://hinkali.city,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8000834,37.5753712,
Coffee Bean,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 9076787,https://www.coffeebean.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8605851,37.6029974,Mo-Sa 08:00-23:00; Su 09:00-22:00
Алёнка,Кондитерская,Адрес не указан (см. координаты),+7 495 6910819,https://www.alenka.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7567645,37.5880071,Mo-Su 09:00-21:00
Спектр,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 929 9224579, +7 499 3808144",http://spektrcafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7226569,37.5618782,Mo-Fr 08:00-22:00; Sa-Su 10:00-21:00
А. Ф. Кони,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2657808,https://af-koni.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7697611,37.6553654,
Грабли,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6500498,http://grabli.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7663808,37.6036411,"Fr-Sa 09:00-23:00; Mo-Th,Su 09:00-22:00"
Пепела,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 9406217,http://cafe-pepela.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.5342247,37.5297277,
Хинкальная,Кофейня/Кафе,"улица Академика Волгина, 29 к1",+7 495 3367611,https://kafekhinkalnaya.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.644078,37.5085108,Mo-Su 11:00-24:00
Iskra,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 4091629,https://www.facebook.com/iskracafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.805648,37.5843231,Mo-Th 09:00-24:00; Fr 10:00-06:00; Sa 12:00-06:00; Su 12:00-24:00
Без названия,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 737774,https://www.allopizza.su/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7864521,37.7352912,
Елисей-1,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2378920,http://www.elisey1.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.715402,37.6327473,Mo-Fr 10:00-17:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 788-31-48,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7356765,37.5870084,Mo-Su 08:00-23:00
Coffee Bean,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 6248102,http://www.coffeebean.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7787524,37.6005056,Mo-Sa 08:00-23:00; Su 09:00-22:00
Пипл & паста,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6997712,PEOPLE.PASTA,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7729906,37.6207757,Mo-Sa 11:00-23:00; Su 12:00-23:00
Ёрш,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 5308172,https://tanukifamily.ru/ersh/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.662844,37.7605382,24/7
Линдфорс,Кофейня/Кафе,улица Годовикова 2,84956093377,http://www.lindfors.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8031929,37.6316147,08:00-21:00
Чайная высота,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2255996, +7 800 1007108, +7 963 7700554",http://cha108.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7599555,37.6479801,Mo-Su 11:00-24:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6252661,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7536975,37.6373394,Mo-Su 08:00-23:00
Black Milk,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 1558377,http://blackmilkcoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7621117,37.642506,"Mo-Fr 08:00-23:00; Sa,Su 10:00-23:00"
Тарелка,Кофейня/Кафе,Адрес не указан (см. координаты),+78123855501,https://tarelkas.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7969836,37.5807169,Mo-Fr 08:00-19:00
Музей шоколада,Кондитерская,Адрес не указан (см. координаты),+7 495 9996127,http://www.muzeyshokolada.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7472228,37.6075996,Mo-Su 09:00-21:00
"Чебуречная ""СССР""",Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6945476,http://chcccp.narod.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7641969,37.6026665,Mo-Su 08:00-23:00
Breakfast,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 6408636,http://www.friends-forever.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7579096,37.5973729,Mo-Su 08:00-23:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6237185,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7428182,37.6002715,Mo-Su 08:00-23:00
ГончаровЪ,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6852690, +7 926 7130099",http://mskr.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7975961,37.5688742,24/7
Кондитерская Олега Ильина,Кондитерская,Адрес не указан (см. координаты),"+7 495 7997007, +7 499 7308418",http://www.sweetstore.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6716044,37.5179708,Mo-Su 10:00-22:00
Кофеин,Кофейня/Кафе,Адрес не указан (см. координаты),+7 906 0496253,http://www.koffein.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6256162,37.7599365,Mo-Su 10:00-22:00
Булка,Пекарня,Адрес не указан (см. координаты),+7 495 6249557,http://www.bulkabakery.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7595465,37.6463758,"Mo-Fr 07:30-23:00; Sa,Su 08:30-23:00"
Cafe Garage,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6450522,https://www.facebook.com/garageccc.cafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7279467,37.6019626,Mo-Th 11:00-22:00; Fr-Su 11:00-23:00
Бейрут,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6255910,https://beirutcafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7642666,37.6531341,Mo-Su 12:00-24:00
Ess-Thetik,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6911771,http://www.essthetik.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7623314,37.5955384,Mo-Su 10:00-24:00
Costa Coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2582446,http://www.costacoffee.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7557958,37.5571318,"Mo-Fr 07:30-21:00; Sa,Su 08:30-20:00"
Prime,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6642363, +7 496 6637233",http://www.prime-star.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7706045,37.4237619,Fr 07:30-18:00;Mo-Th 07:30-19:00
Frank by Баста,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2281808,https://frankmeat.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7628266,37.635186,"Fr-Sa 12:00-02:00; Mo-Th,Su 12:00-24:00"
Николай,Кофейня/Кафе,"Пятницкая улица, 53",+7 495 9535523,http://bar-bufet.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7350988,37.6279271,Mo-Su 09:00-23:00
Николай,Кофейня/Кафе,"Старая Басманная улица, 5 с1",+7 495 6415595,http://bar-bufet.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7644766,37.6570614,Mo-Su 10:00-23:00
I love cake,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 2260238,http://www.ilovecake.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7626112,37.5920186,Mo-Su 08:00-23:00
Песто Кафе,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 7531677,https://pestocafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.757773,37.409127,Mo-Su 12:00-24:00
Кафе 2.0,Кофейня/Кафе,"Электродный проезд, 16",+7 495 5147453,www.cafe20.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7600185,37.7529087,11:00-23:00
Tutti Frutti Frozen Yogurt,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 1409394,http://tuttifruttirussia.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7492845,37.5429426,
Сойка напела,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2522927,https://www.instagram.com/soyka.napela,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7624421,37.5670775,"Mo-Fr 08:00-23:00; Sa,Su 10:00-23:00"
Сок,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 9537963,https://sokcafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7415244,37.6214754,Mo-Su 11:00-23:00
Линдфорс,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 2460532, +7 499 2460589",http://www.lindfors.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.727862,37.5669291,Mo-Su 09:00-21:00
Coffee Bean,Кофейня/Кафе,"Ленинградский проспект, 56",+7 499 1524749,https://www.coffeebean.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7986849,37.5375466,Mo-Sa 08:00-23:00; Su 09:00-22:00
Берёзка,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 1440190,http://www.kafeberezka.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7330833,37.4816128,11:00-23:00
"Кафе-Пиццерия ""Ланч Хаус""",Кофейня/Кафе,Адрес не указан (см. координаты),"Доставка +7 495 2405158,  Администрация +7 495 2405157",http://ланчхаус.рф,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6369446,37.4349926,Mo-Su 09:00-20:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 629-84-44,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7611131,37.6028932,Mo-Su 08:00-23:00
Maestrello,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6234411, +7 915 4882443",https://www.instagram.com/p.maestrello,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7587752,37.6458727,Su-Th 11:00-23:00; Fr-Sa 11:00-24:00
Рамен Клаб,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 0485171,http://vk.com/ramen_club,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7608519,37.6324894,"Mo-We 11:00-21:00; Th,Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-21:00"
Лубянка,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6239314,http://www.lubyankacafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7644551,37.6290416,
Пицца Паоло,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 5530040,https://www.pizzapaolo.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7778466,37.6288194,Mo-Sa 09:00-21:00; Su 09:00-20:30
Хинкальная на Щепкина,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6811933,http://www.shepkina.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.777591,37.628767,Mo-Su 12:00-24:00
Сыто Piano,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6285275,http://sito-piano.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.765693,37.6209295,Mo-Su 11:00-24:00
Coffee Bean,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 1877555,https://www.coffeebean.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8376822,37.6364205,Mo-Sa 08:00-23:00; Su 09:00-22:00
Пиццетория,Кофейня/Кафе,"Дубнинская улица, 53 к1","+7 495 7980538, +7 926 1257336",https://pizzetoriya.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.872266,37.5591946,10:00-23:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,"1-я Брестская улица, 27",+7 499 951-04-81,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7716874,37.5909374,Mo-Su 08:00-23:00
Costa Coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 9950216,http://www.costacoffee.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7470041,37.6073358,"Mo-Fr 07:30-23:00; Sa,Su 08:30-23:00"
Кофе ON,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 9535662,http://www.kofe-on.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7424943,37.6248548,24/7
Bubbleology,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2719708,http://www.bubbleology.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6636372,37.5107998,Mo-Su 11:00-23:00
Corneli Pizza,Кофейня/Кафе,"улица Героев Панфиловцев, 7",+7 495 1200033,http://www.cornelipizza.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8572707,37.4321984,"00:00-01:00,10:00-24:00"
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7004117,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7837493,37.6012187,Mo-Su 08:00-23:00
Кафетеррия,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 9802402,http://caffeterria.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7015097,37.5778053,Mo-Su 07:30-20:00
Кондитерская Олега Ильина,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7997707,http://www.sweetstore.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7595988,37.5801976,Mo-Su 10:00-22:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 951-62-04,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7446726,37.6248551,Mo-Su 08:00-23:00
Чинар-А,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 965 1085937, +7 499 2697757",https://vk.com/club118444017,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7916964,37.6605422,Mo-Su 11:00-23:00
Lao Lee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1627877,https://laolee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7786989,37.5966131,Mo-Su 12:00-23:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 915-38-94,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.747292,37.6564227,Mo-Su 08:00-23:00
Конфаэль,Кондитерская,Адрес не указан (см. координаты),"+7 499 2496206, +7 800 1006699",https://confaelshop.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7415665,37.5407734,Mo-Su 10:00-20:00
Пан Запекан,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 0025575,http://www.panzapekan.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7293877,37.6453199,Mo-Su 07:30-22:00
Морс,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2351819,http://kafemors.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7081019,37.6420148,Mo-Su 12:00-23:00
La Princesse Choco,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 3409899,http://laprincesse.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8075857,37.5109981,
