Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы,Is_Mobile
Спектр,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 929 9224579, +7 499 3808144",http://spektrcafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7226569,37.5618782,Mo-Fr 08:00-22:00; Sa-Su 10:00-21:00,True
Елисей-1,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 2378920,http://www.elisey1.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.715402,37.6327473,Mo-Fr 10:00-17:00,True
Coffee Bean,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 6248102,http://www.coffeebean.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7787524,37.6005056,Mo-Sa 08:00-23:00; Su 09:00-22:00,True
Чайная высота,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2255996, +7 800 1007108, +7 963 7700554",http://cha108.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7599555,37.6479801,Mo-Su 11:00-24:00,True
Black Milk,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 1558377,http://blackmilkcoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7621117,37.642506,"Mo-Fr 08:00-23:00; Sa,Su 10:00-23:00",True
Breakfast,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 6408636,http://www.friends-forever.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7579096,37.5973729,Mo-Su 08:00-23:00,True
ГончаровЪ,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6852690, +7 926 7130099",http://mskr.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7975961,37.5688742,24/7,True
Кофеин,Кофейня/Кафе,Адрес не указан (см. координаты),+7 906 0496253,http://www.koffein.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6256162,37.7599365,Mo-Su 10:00-22:00,True
I love cake,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 2260238,http://www.ilovecake.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7626112,37.5920186,Mo-Su 08:00-23:00,True
Tutti Frutti Frozen Yogurt,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 1409394,http://tuttifruttirussia.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7492845,37.5429426,,True
Линдфорс,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 499 2460532, +7 499 2460589",http://www.lindfors.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.727862,37.5669291,Mo-Su 09:00-21:00,True
Maestrello,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6234411, +7 915 4882443",https://www.instagram.com/p.maestrello,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7587752,37.6458727,Su-Th 11:00-23:00; Fr-Sa 11:00-24:00,True
Рамен Клаб,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 0485171,http://vk.com/ramen_club,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7608519,37.6324894,"Mo-We 11:00-21:00; Th,Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-21:00",True
Пиццетория,Кофейня/Кафе,"Дубнинская улица, 53 к1","+7 495 7980538, +7 926 1257336",https://pizzetoriya.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.872266,37.5591946,10:00-23:00,True
Чинар-А,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 965 1085937, +7 499 2697757",https://vk.com/club118444017,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7916964,37.6605422,Mo-Su 11:00-23:00,True
Lao Lee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1627877,https://laolee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7786989,37.5966131,Mo-Su 12:00-23:00,True
Пан Запекан,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 0025575,http://www.panzapekan.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7293877,37.6453199,Mo-Su 07:30-22:00,True
La Princesse Choco,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 3409899,http://laprincesse.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8075857,37.5109981,,True
СушиStore,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 7014829,https://sushistore.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6484459,37.7415302,,True
Культ вкуса,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 2906665,https://kultvkusa.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7906726,37.61317,"Su-Th 11:00-24:00, Fr,Sa 11:00-02:00",True
David B Café,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 9172773,https://www.facebook.com/Davidbcafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7640119,37.598511,Mo-Fr 09:00-21:00; Sa-Su 10:00-21:00,True
Котиссимо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 1900222,https://www.koto.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.770043,37.665554,Mo-Su 12:00-21:00,True
Чихо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 910 0159865,https://chiho.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7635527,37.6336686,Fr 11:00-24:00; Mo-Th 11:00-23:00; Sa 12:00-24:00; Su 12:00-23:00,True
Циники,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 2706701,https://cynicmenu.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7625654,37.5995868,"Mo-Fr 08:00-23:00; Sa,Su 10:00-23:00",True
Point 242,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 2075732,https://www.facebook.com/point242,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7079762,37.6811645,"Mo-Fr 08:30-22:00; Sa,Su 10:00-22:00",True
Pizza? Si!,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 1236448,https://www.facebook.com/pizzeriaSi/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7899938,37.6341837,Mo-Su 12:00-22:00,True
Культурный код,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 7045176,https://www.instagram.com/cultcode.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.775971,37.5956266,"Mo-Fr 08:00-23:00; Sa,Su 09:00-24:00",True
Burger Heroes,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 0911973,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7416406,37.6252731,Mo-Su 12:00-23:45,True
Белый лист,Кофейня/Кафе,Адрес не указан (см. координаты),+7 964 5663335,http://belylist.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7302813,37.6262951,Mo-Su 10:00-23:00,True
Borghetto,Кофейня/Кафе,Адрес не указан (см. координаты),+7 929 9406931,https://borghetto.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6890745,37.5832422,Mo-Su 11:00-23:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 4232672,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8464792,37.6640372,Mo-Su 10:00-22:00,True
Лепим и варим,Кофейня/Кафе,"Столешников переулок, 9/1",+7 969 3473524,https://lepimivarim.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.763307,37.6150576,Mo-Su 10:00-22:00,True
Jinju,Кофейня/Кафе,Адрес не указан (см. координаты),+7 905 5688890,https://www.instagram.com/jinju_coffee/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7828956,37.6339219,Mo-Su 10:00-00:00,True
Пит Брэд,Кофейня/Кафе,"улица Малая Якиманка, 24",+7 925 4637747,https://www.facebook.com/pitbread.official/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7374743,37.6165436,Mo-Fr 08:00-20:00; Sa-Su 11:00-20:00; PH 11:00-19:00,True
Table,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 3938668,https://www.instagram.com/tablecafemoscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7810029,37.5917681,Mo-Su 09:00-21:00,True
Папа Вейдер,Кофейня/Кафе,"Большой Златоустинский переулок, 3/5 с1",+7 929 6291553,http://papavader.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7592396,37.6324362,,True
Crosby Coffee Company,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1839958,https://crosbycoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7673476,37.6088571,Mo-Fr 08:00-18:00,True
White Fox,Кофейня/Кафе,Адрес не указан (см. координаты),+79672773544,https://whitefoxcafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7685179,37.5726997,Mo-Fr 08:00-23:00; Sa-Su 09:00-22:00,True
РОС,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 4091313,http://антикафе-рос.рф,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7716642,37.6037854,Mo-Su 11:00-24:00,True
Тирольские пироги,Кондитерская,"1-я Тверская-Ямская улица, 11",+7 926 5316744,https://tirolpirog.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7727744,37.5909851,Mo-Su 08:00-23:00,True
Wooden Door,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7489338,http://wdndoor.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7618887,37.6322174,"Mo-Fr 12:00-24:00; Sa,Su 00:00-06:00,12:00-24:00",True
Французская пекарня SeDelice,Пекарня,Адрес не указан (см. координаты),"+7 968 6232884, +7 926 9827221",https://sedelice.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7317416,37.6640936,Mo-Fr 09:00-21:00; Sa-Su 10:00-20:00,True
Чайных Дел Мастерская,Кофейня/Кафе,"Армянский переулок, 3-5 с10",+7 926 3953872,https://teaworks.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7609557,37.6355068,Mo-Su 12:00-23:00,True
Сакура,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 6347698,http://sakura-sushi-rolly.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",56.0159195,37.2003853,Mo-Su 09:00-24:00,True
Paella Catalana,Кофейня/Кафе,Адрес не указан (см. координаты),+7 901 519 55 66,https://paella-catalana.clients.site/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7521732,37.6696959,11:00-23:00,True
Loft,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 6498102,https://www.facebook.com/iloftcoffee,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8049005,37.5896439,Mo-Fr 08:00-20:00,True
Мегрелия,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 1132311,https://megrelia.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7397994,37.6540601,"Fr-Sa 11:00-00:00; Mo-Th,Su 11:00-23:00",True
cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 926 712-33-77, +7 965 317-70-01",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6034301,37.4915902,Mo-Su 10:00-23:00,True
Котики и люди,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 3220425,http://kotocafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7766368,37.6302861,,True
Эспрессиум,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 3745563,https://www.facebook.com/espressium,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7717465,37.6368879,Mo-Fr 08:00-22:00; Sa-Su 10:00-22:00,True
French Kiss,Кондитерская,Адрес не указан (см. координаты),+7 925 0974562,http://www.frenchkiss.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.780005,37.6326509,Mo-Su 10:00-22:00,True
Bee's Knees,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 4643727,https://www.facebook.com/Bees-Knees-cafe-945117358905271,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7041918,37.6150607,Mo-Su 10:00-22:00,True
Roaster coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 5377206,https://www.roaster-coffee.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7719685,37.5981882,"Mo-Fr 07:30-23:00; Sa,Su 09:00-23:00",True
Jeffreys coffeeshop,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 4612501,https://jeffreys.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7624457,37.567558,08:00-22:00,True
French Kiss,Кондитерская,Адрес не указан (см. координаты),+7 926 9964551,https://www.frenchkiss.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8018799,37.5320223,Mo-Su 10:00-22:00,True
Без названия,Кондитерская,Адрес не указан (см. координаты),+7 915 3312431,http://tortviolino.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6978043,37.5013173,24/7,True
Брусника,Пекарня,Адрес не указан (см. координаты),+7 495 6970489,http://brusnikacafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7474035,37.5978887,Mo-Su 08:00-23:00,True
Kitchen,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 0028373,http://1kitchen.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6725831,37.515236,Mo-Su 09:00-22:00,True
Лампа,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 5126084,http://www.lampacafe.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7407939,37.4278735,Mo-Su 10:00-23:00,True
Burger Heroes,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 1862286,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7573563,37.6340358,Mo-Su 12:00-23:45,True
Burger Heroes,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 4436659,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7660744,37.6079057,"Fr-Sa 11:00-05:30; Mo-Th,Su 11:00-23:45",True
EVOO,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 967 007-30-30,  +7 967 007-02-02",https://www.instagram.com/evoo.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7238788,37.6368684,"Mo-Fr 09:00-24:00; Sa,Su 11:00-24:00",True
Kitchen,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 1460220,http://cafe-kitchen.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.656423,37.4720657,Mo-Su 09:00-22:00,True
Оджахури,Пекарня,Адрес не указан (см. координаты),+7 969 1000110,https://www.ojakhuri.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7274341,37.5675512,Mo-Su 09:00-22:00,True
Сыто Piano,Кофейня/Кафе,Адрес не указан (см. координаты),+7 977 8006081,http://sito-piano.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7634911,37.6066773,"Mo-Su 00:00-06:00,11:00-24:00",True
Орлиное гнездо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 6249116,http://www.kafegnezdo.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6249373,37.7083318,Mo-Su 11:00-02:00,True
Holy Basil Café,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 5275737,https://www.facebook.com/holybasilcafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7745357,37.5889036,"Mo-Fr 08:30-21:30; Sa,Su 09:30-19:30",True
Рожица,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 7347310,https://www.facebook.com/rozhitsa.pekarnya,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8831985,37.5389783,Mo-Su 10:00-21:00,True
Панчетта,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 0075010,http://www.pancetta.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8706641,37.640131,10:00-23:00,True
Мираж,Кофейня/Кафе,"улица Шкулёва, 2А",+7 905 7876764,mirag.kafebar.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6934357,37.7459183,,True
Conversation,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 4437344,http://www.friends-forever.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7573559,37.5992308,Mo-Su 08:00-24:00,True
La Mortazza,Кофейня/Кафе,Адрес не указан (см. координаты),+7 991 1046562,https://lamortazza.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7806745,37.6017286,"Mo-Fr 10:00-21:30; Sa,Su 11:00-21:00",True
Греча,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 4440309,http://anti-grecha.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8047749,37.526495,Mo-Su 11:00-23:00,True
Рубим бургер,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 589 81 21,https://instagram.com/rubim_burger,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6776734,37.5741453,"Mo-Fr 11:00-24:00; Sa,Su 00:00-02:00,11:00-24:00",True
Zizo,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 1031818,https://zizo.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7275104,37.5673896,Mo-Su 08:00-21:00,True
Делюсь душой,Кофейня/Кафе,Адрес не указан (см. координаты),+7 903 6138551,https://instagram.com/ddcoffeemoscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7352659,37.6279518,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00,True
Тайм авеню,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 9568687, +7 965 1344851",https://www.timeavenuecafe.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8115369,37.519493,Mo-Fr 11:00-21:00,True
Гарланд,Кофейня/Кафе,Адрес не указан (см. координаты),+7 929 9384262,https://garlandcafe.business.site,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7985552,37.5278592,Mo-Sa 10:00-23:00; Su 12:00-23:00,True
Амир,Кофейня/Кафе,Адрес не указан (см. координаты),+7 929 6988679,https://www.instagram.com/amir_chayhana/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8682607,37.5503576,"Mo-Su 00:00-05:00,10:00-24:00",True
Вьетфо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 999 8595467,http://vietpho.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8404725,37.4934988,Mo-Su 11:00-23:00,True
Горбуфет Пельменная,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 9637962,https://www.instagram.com/gorbufet_pelmennaya/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7671762,37.6061668,"Mo-Fr 00:00-02:00,12:00-24:00; Sa,Su 00:00-03:00,12:00-24:00",True
Kook,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 1301372,https://kook.taplink.ws,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7682386,37.6157036,Mo-Su 12:00-24:00,True
Лепим и варим,Кофейня/Кафе,"проспект Мира, 26 с1",+7 963 6000197,https://lepimivarim.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7774714,37.6331494,Mo-Su 11:00-23:00,True
Там Ем,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 0205353,https://www.facebook.com/TamEmCafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8065616,37.5841333,Mo-Su 11:00-22:00,True
